line name,measurement type,Value
S1.C1.R1.P1,promoter 1,1.0
S1.C1.R1.P2,promoter 2,1.0
S1.C1.R1.P3,promoter 3,1.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.06356
S1.C1.R1.P1,promoter 1,1.0
S1.C1.R1.P2,promoter 2,13.0
S1.C1.R1.P3,promoter 3,10.0
S1.C1.R1.LY,abs @470nm w/DMSO,0.79031
S1.C1.R1.P1,promoter 1,2.0
S1.C1.R1.P2,promoter 2,23.0
S1.C1.R1.P3,promoter 3,17.0
S1.C1.R1.LY,abs @470nm w/DMSO,0.93044
S1.C1.R1.P1,promoter 1,2.0
S1.C1.R1.P2,promoter 2,7.0
S1.C1.R1.P3,promoter 3,15.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.77051
S1.C1.R1.P1,promoter 1,3.0
S1.C1.R1.P2,promoter 2,15.0
S1.C1.R1.P3,promoter 3,21.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.43224
S1.C1.R1.P1,promoter 1,3.0
S1.C1.R1.P2,promoter 2,12.0
S1.C1.R1.P3,promoter 3,21.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.72854
S1.C1.R1.P1,promoter 1,4.0
S1.C1.R1.P2,promoter 2,4.0
S1.C1.R1.P3,promoter 3,13.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.41765
S1.C1.R1.P1,promoter 1,5.0
S1.C1.R1.P2,promoter 2,8.0
S1.C1.R1.P3,promoter 3,8.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.7939
S1.C1.R1.P1,promoter 1,5.0
S1.C1.R1.P2,promoter 2,22.0
S1.C1.R1.P3,promoter 3,12.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.93662
S1.C1.R1.P1,promoter 1,6.0
S1.C1.R1.P2,promoter 2,18.0
S1.C1.R1.P3,promoter 3,6.0
S1.C1.R1.LY,abs @470nm w/DMSO,3.55577
S1.C1.R1.P1,promoter 1,6.0
S1.C1.R1.P2,promoter 2,21.0
S1.C1.R1.P3,promoter 3,6.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.04372
S1.C1.R1.P1,promoter 1,6.0
S1.C1.R1.P2,promoter 2,2.0
S1.C1.R1.P3,promoter 3,20.0
S1.C1.R1.LY,abs @470nm w/DMSO,3.65709
S1.C1.R1.P1,promoter 1,7.0
S1.C1.R1.P2,promoter 2,7.0
S1.C1.R1.P3,promoter 3,4.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.48731
S1.C1.R1.P1,promoter 1,8.0
S1.C1.R1.P2,promoter 2,5.0
S1.C1.R1.P3,promoter 3,23.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.14156
S1.C1.R1.P1,promoter 1,8.0
S1.C1.R1.P2,promoter 2,13.0
S1.C1.R1.P3,promoter 3,21.0
S1.C1.R1.LY,abs @470nm w/DMSO,0.80819
S1.C1.R1.P1,promoter 1,9.0
S1.C1.R1.P2,promoter 2,9.0
S1.C1.R1.P3,promoter 3,15.0
S1.C1.R1.LY,abs @470nm w/DMSO,3.2793
S1.C1.R1.P1,promoter 1,9.0
S1.C1.R1.P2,promoter 2,18.0
S1.C1.R1.P3,promoter 3,15.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.6185
S1.C1.R1.P1,promoter 1,9.0
S1.C1.R1.P2,promoter 2,11.0
S1.C1.R1.P3,promoter 3,11.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.7454
S1.C1.R1.P1,promoter 1,10.0
S1.C1.R1.P2,promoter 2,22.0
S1.C1.R1.P3,promoter 3,19.0
S1.C1.R1.LY,abs @470nm w/DMSO,4.29051
S1.C1.R1.P1,promoter 1,11.0
S1.C1.R1.P2,promoter 2,14.0
S1.C1.R1.P3,promoter 3,2.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.55735
S1.C1.R1.P1,promoter 1,11.0
S1.C1.R1.P2,promoter 2,4.0
S1.C1.R1.P3,promoter 3,6.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.19085
S1.C1.R1.P1,promoter 1,12.0
S1.C1.R1.P2,promoter 2,12.0
S1.C1.R1.P3,promoter 3,12.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.2284
S1.C1.R1.P1,promoter 1,12.0
S1.C1.R1.P2,promoter 2,3.0
S1.C1.R1.P3,promoter 3,12.0
S1.C1.R1.LY,abs @470nm w/DMSO,3.79943
S1.C1.R1.P1,promoter 1,12.0
S1.C1.R1.P2,promoter 2,20.0
S1.C1.R1.P3,promoter 3,14.0
S1.C1.R1.LY,abs @470nm w/DMSO,0.79646
S1.C1.R1.P1,promoter 1,13.0
S1.C1.R1.P2,promoter 2,1.0
S1.C1.R1.P3,promoter 3,22.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.71017
S1.C1.R1.P1,promoter 1,14.0
S1.C1.R1.P2,promoter 2,11.0
S1.C1.R1.P3,promoter 3,5.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.67082
S1.C1.R1.P1,promoter 1,14.0
S1.C1.R1.P2,promoter 2,19.0
S1.C1.R1.P3,promoter 3,3.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.94217
S1.C1.R1.P1,promoter 1,15.0
S1.C1.R1.P2,promoter 2,3.0
S1.C1.R1.P3,promoter 3,9.0
S1.C1.R1.LY,abs @470nm w/DMSO,0.65339
S1.C1.R1.P1,promoter 1,15.0
S1.C1.R1.P2,promoter 2,24.0
S1.C1.R1.P3,promoter 3,9.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.76803
S1.C1.R1.P1,promoter 1,16.0
S1.C1.R1.P2,promoter 2,16.0
S1.C1.R1.P3,promoter 3,1.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.16442
S1.C1.R1.P1,promoter 1,17.0
S1.C1.R1.P2,promoter 2,20.0
S1.C1.R1.P3,promoter 3,20.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.82859
S1.C1.R1.P1,promoter 1,17.0
S1.C1.R1.P2,promoter 2,10.0
S1.C1.R1.P3,promoter 3,24.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.06185
S1.C1.R1.P1,promoter 1,18.0
S1.C1.R1.P2,promoter 2,6.0
S1.C1.R1.P3,promoter 3,18.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.49538
S1.C1.R1.P1,promoter 1,18.0
S1.C1.R1.P2,promoter 2,9.0
S1.C1.R1.P3,promoter 3,18.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.14597
S1.C1.R1.P1,promoter 1,18.0
S1.C1.R1.P2,promoter 2,14.0
S1.C1.R1.P3,promoter 3,8.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.48019
S1.C1.R1.P1,promoter 1,19.0
S1.C1.R1.P2,promoter 2,19.0
S1.C1.R1.P3,promoter 3,16.0
S1.C1.R1.LY,abs @470nm w/DMSO,0.70952
S1.C1.R1.P1,promoter 1,20.0
S1.C1.R1.P2,promoter 2,17.0
S1.C1.R1.P3,promoter 3,11.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.30347
S1.C1.R1.P1,promoter 1,20.0
S1.C1.R1.P2,promoter 2,1.0
S1.C1.R1.P3,promoter 3,9.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.96797
S1.C1.R1.P1,promoter 1,21.0
S1.C1.R1.P2,promoter 2,21.0
S1.C1.R1.P3,promoter 3,3.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.35603
S1.C1.R1.P1,promoter 1,21.0
S1.C1.R1.P2,promoter 2,6.0
S1.C1.R1.P3,promoter 3,3.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.7985
S1.C1.R1.P1,promoter 1,21.0
S1.C1.R1.P2,promoter 2,23.0
S1.C1.R1.P3,promoter 3,23.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.12137
S1.C1.R1.P1,promoter 1,22.0
S1.C1.R1.P2,promoter 2,10.0
S1.C1.R1.P3,promoter 3,7.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.41163
S1.C1.R1.P1,promoter 1,23.0
S1.C1.R1.P2,promoter 2,2.0
S1.C1.R1.P3,promoter 3,14.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.89498
S1.C1.R1.P1,promoter 1,23.0
S1.C1.R1.P2,promoter 2,16.0
S1.C1.R1.P3,promoter 3,18.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.00186
S1.C1.R1.P1,promoter 1,24.0
S1.C1.R1.P2,promoter 2,15.0
S1.C1.R1.P3,promoter 3,24.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.87153
S1.C1.R1.P1,promoter 1,24.0
S1.C1.R1.P2,promoter 2,8.0
S1.C1.R1.P3,promoter 3,2.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.32058
S2.C1.R1.P1,promoter 1,1.0
S2.C1.R1.P2,promoter 2,1.0
S2.C1.R1.P3,promoter 3,1.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.15435
S2.C1.R1.P1,promoter 1,1.0
S2.C1.R1.P2,promoter 2,13.0
S2.C1.R1.P3,promoter 3,10.0
S2.C1.R1.LY,abs @470nm w/DMSO,0.77193
S2.C1.R1.P1,promoter 1,2.0
S2.C1.R1.P2,promoter 2,23.0
S2.C1.R1.P3,promoter 3,17.0
S2.C1.R1.LY,abs @470nm w/DMSO,0.95159
S2.C1.R1.P1,promoter 1,2.0
S2.C1.R1.P2,promoter 2,7.0
S2.C1.R1.P3,promoter 3,15.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.81075
S2.C1.R1.P1,promoter 1,3.0
S2.C1.R1.P2,promoter 2,15.0
S2.C1.R1.P3,promoter 3,21.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.35086
S2.C1.R1.P1,promoter 1,3.0
S2.C1.R1.P2,promoter 2,12.0
S2.C1.R1.P3,promoter 3,21.0
S2.C1.R1.LY,abs @470nm w/DMSO,2.92579
S2.C1.R1.P1,promoter 1,4.0
S2.C1.R1.P2,promoter 2,4.0
S2.C1.R1.P3,promoter 3,13.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.38429
S2.C1.R1.P1,promoter 1,5.0
S2.C1.R1.P2,promoter 2,8.0
S2.C1.R1.P3,promoter 3,8.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.83819
S2.C1.R1.P1,promoter 1,5.0
S2.C1.R1.P2,promoter 2,22.0
S2.C1.R1.P3,promoter 3,12.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.91271
S2.C1.R1.P1,promoter 1,6.0
S2.C1.R1.P2,promoter 2,18.0
S2.C1.R1.P3,promoter 3,6.0
S2.C1.R1.LY,abs @470nm w/DMSO,3.95086
S2.C1.R1.P1,promoter 1,6.0
S2.C1.R1.P2,promoter 2,21.0
S2.C1.R1.P3,promoter 3,6.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.03114
S2.C1.R1.P1,promoter 1,6.0
S2.C1.R1.P2,promoter 2,2.0
S2.C1.R1.P3,promoter 3,20.0
S2.C1.R1.LY,abs @470nm w/DMSO,3.61249
S2.C1.R1.P1,promoter 1,7.0
S2.C1.R1.P2,promoter 2,7.0
S2.C1.R1.P3,promoter 3,4.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.48731
S2.C1.R1.P1,promoter 1,8.0
S2.C1.R1.P2,promoter 2,5.0
S2.C1.R1.P3,promoter 3,23.0
S2.C1.R1.LY,abs @470nm w/DMSO,2.22187
S2.C1.R1.P1,promoter 1,8.0
S2.C1.R1.P2,promoter 2,13.0
S2.C1.R1.P3,promoter 3,21.0
S2.C1.R1.LY,abs @470nm w/DMSO,0.81829
S2.C1.R1.P1,promoter 1,9.0
S2.C1.R1.P2,promoter 2,9.0
S2.C1.R1.P3,promoter 3,15.0
S2.C1.R1.LY,abs @470nm w/DMSO,3.51925
S2.C1.R1.P1,promoter 1,9.0
S2.C1.R1.P2,promoter 2,18.0
S2.C1.R1.P3,promoter 3,15.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.69378
S2.C1.R1.P1,promoter 1,9.0
S2.C1.R1.P2,promoter 2,11.0
S2.C1.R1.P3,promoter 3,11.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.85449
S2.C1.R1.P1,promoter 1,10.0
S2.C1.R1.P2,promoter 2,22.0
S2.C1.R1.P3,promoter 3,19.0
S2.C1.R1.LY,abs @470nm w/DMSO,4.29051
S2.C1.R1.P1,promoter 1,11.0
S2.C1.R1.P2,promoter 2,14.0
S2.C1.R1.P3,promoter 3,2.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.55735
S2.C1.R1.P1,promoter 1,11.0
S2.C1.R1.P2,promoter 2,4.0
S2.C1.R1.P3,promoter 3,6.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.13732
S2.C1.R1.P1,promoter 1,12.0
S2.C1.R1.P2,promoter 2,12.0
S2.C1.R1.P3,promoter 3,12.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.15939
S2.C1.R1.P1,promoter 1,12.0
S2.C1.R1.P2,promoter 2,3.0
S2.C1.R1.P3,promoter 3,12.0
S2.C1.R1.LY,abs @470nm w/DMSO,3.7531
S2.C1.R1.P1,promoter 1,12.0
S2.C1.R1.P2,promoter 2,20.0
S2.C1.R1.P3,promoter 3,14.0
S2.C1.R1.LY,abs @470nm w/DMSO,0.75941
S2.C1.R1.P1,promoter 1,13.0
S2.C1.R1.P2,promoter 2,1.0
S2.C1.R1.P3,promoter 3,22.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.87907
S2.C1.R1.P1,promoter 1,14.0
S2.C1.R1.P2,promoter 2,11.0
S2.C1.R1.P3,promoter 3,5.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.55559
S2.C1.R1.P1,promoter 1,14.0
S2.C1.R1.P2,promoter 2,19.0
S2.C1.R1.P3,promoter 3,3.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.96645
S2.C1.R1.P1,promoter 1,15.0
S2.C1.R1.P2,promoter 2,3.0
S2.C1.R1.P3,promoter 3,9.0
S2.C1.R1.LY,abs @470nm w/DMSO,0.66914
S2.C1.R1.P1,promoter 1,15.0
S2.C1.R1.P2,promoter 2,24.0
S2.C1.R1.P3,promoter 3,9.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.83194
S2.C1.R1.P1,promoter 1,16.0
S2.C1.R1.P2,promoter 2,16.0
S2.C1.R1.P3,promoter 3,1.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.05857
S2.C1.R1.P1,promoter 1,17.0
S2.C1.R1.P2,promoter 2,20.0
S2.C1.R1.P3,promoter 3,20.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.82859
S2.C1.R1.P1,promoter 1,17.0
S2.C1.R1.P2,promoter 2,10.0
S2.C1.R1.P3,promoter 3,24.0
S2.C1.R1.LY,abs @470nm w/DMSO,2.26803
S2.C1.R1.P1,promoter 1,18.0
S2.C1.R1.P2,promoter 2,6.0
S2.C1.R1.P3,promoter 3,18.0
S2.C1.R1.LY,abs @470nm w/DMSO,2.27357
S2.C1.R1.P1,promoter 1,18.0
S2.C1.R1.P2,promoter 2,9.0
S2.C1.R1.P3,promoter 3,18.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.06693
S2.C1.R1.P1,promoter 1,18.0
S2.C1.R1.P2,promoter 2,14.0
S2.C1.R1.P3,promoter 3,8.0
S2.C1.R1.LY,abs @470nm w/DMSO,2.36348
S2.C1.R1.P1,promoter 1,19.0
S2.C1.R1.P2,promoter 2,19.0
S2.C1.R1.P3,promoter 3,16.0
S2.C1.R1.LY,abs @470nm w/DMSO,0.75387
S2.C1.R1.P1,promoter 1,20.0
S2.C1.R1.P2,promoter 2,17.0
S2.C1.R1.P3,promoter 3,11.0
S2.C1.R1.LY,abs @470nm w/DMSO,2.41187
S2.C1.R1.P1,promoter 1,20.0
S2.C1.R1.P2,promoter 2,1.0
S2.C1.R1.P3,promoter 3,9.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.85487
S2.C1.R1.P1,promoter 1,21.0
S2.C1.R1.P2,promoter 2,21.0
S2.C1.R1.P3,promoter 3,3.0
S2.C1.R1.LY,abs @470nm w/DMSO,2.29856
S2.C1.R1.P1,promoter 1,21.0
S2.C1.R1.P2,promoter 2,6.0
S2.C1.R1.P3,promoter 3,3.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.8643
S2.C1.R1.P1,promoter 1,21.0
S2.C1.R1.P2,promoter 2,23.0
S2.C1.R1.P3,promoter 3,23.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.18811
S2.C1.R1.P1,promoter 1,22.0
S2.C1.R1.P2,promoter 2,10.0
S2.C1.R1.P3,promoter 3,7.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.28615
S2.C1.R1.P1,promoter 1,23.0
S2.C1.R1.P2,promoter 2,2.0
S2.C1.R1.P3,promoter 3,14.0
S2.C1.R1.LY,abs @470nm w/DMSO,2.83065
S2.C1.R1.P1,promoter 1,23.0
S2.C1.R1.P2,promoter 2,16.0
S2.C1.R1.P3,promoter 3,18.0
S2.C1.R1.LY,abs @470nm w/DMSO,1.01423
S2.C1.R1.P1,promoter 1,24.0
S2.C1.R1.P2,promoter 2,15.0
S2.C1.R1.P3,promoter 3,24.0
S2.C1.R1.LY,abs @470nm w/DMSO,2.58115
S2.C1.R1.P1,promoter 1,24.0
S2.C1.R1.P2,promoter 2,8.0
S2.C1.R1.P3,promoter 3,2.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.06274
S3.C1.R1.P1,promoter 1,1.0
S3.C1.R1.P2,promoter 2,1.0
S3.C1.R1.P3,promoter 3,1.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.11544
S3.C1.R1.P1,promoter 1,1.0
S3.C1.R1.P2,promoter 2,13.0
S3.C1.R1.P3,promoter 3,10.0
S3.C1.R1.LY,abs @470nm w/DMSO,0.75355
S3.C1.R1.P1,promoter 1,2.0
S3.C1.R1.P2,promoter 2,23.0
S3.C1.R1.P3,promoter 3,17.0
S3.C1.R1.LY,abs @470nm w/DMSO,0.95159
S3.C1.R1.P1,promoter 1,2.0
S3.C1.R1.P2,promoter 2,7.0
S3.C1.R1.P3,promoter 3,15.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.71016
S3.C1.R1.P1,promoter 1,3.0
S3.C1.R1.P2,promoter 2,15.0
S3.C1.R1.P3,promoter 3,21.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.33459
S3.C1.R1.P1,promoter 1,3.0
S3.C1.R1.P2,promoter 2,12.0
S3.C1.R1.P3,promoter 3,21.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.92579
S3.C1.R1.P1,promoter 1,4.0
S3.C1.R1.P2,promoter 2,4.0
S3.C1.R1.P3,promoter 3,13.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.35093
S3.C1.R1.P1,promoter 1,5.0
S3.C1.R1.P2,promoter 2,8.0
S3.C1.R1.P3,promoter 3,8.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.94892
S3.C1.R1.P1,promoter 1,5.0
S3.C1.R1.P2,promoter 2,22.0
S3.C1.R1.P3,promoter 3,12.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.08008
S3.C1.R1.P1,promoter 1,6.0
S3.C1.R1.P2,promoter 2,18.0
S3.C1.R1.P3,promoter 3,6.0
S3.C1.R1.LY,abs @470nm w/DMSO,3.64357
S3.C1.R1.P1,promoter 1,6.0
S3.C1.R1.P2,promoter 2,21.0
S3.C1.R1.P3,promoter 3,6.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.04372
S3.C1.R1.P1,promoter 1,6.0
S3.C1.R1.P2,promoter 2,2.0
S3.C1.R1.P3,promoter 3,20.0
S3.C1.R1.LY,abs @470nm w/DMSO,3.96928
S3.C1.R1.P1,promoter 1,7.0
S3.C1.R1.P2,promoter 2,7.0
S3.C1.R1.P3,promoter 3,4.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.54107
S3.C1.R1.P1,promoter 1,8.0
S3.C1.R1.P2,promoter 2,5.0
S3.C1.R1.P3,promoter 3,23.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.24864
S3.C1.R1.P1,promoter 1,8.0
S3.C1.R1.P2,promoter 2,13.0
S3.C1.R1.P3,promoter 3,21.0
S3.C1.R1.LY,abs @470nm w/DMSO,0.87891
S3.C1.R1.P1,promoter 1,9.0
S3.C1.R1.P2,promoter 2,9.0
S3.C1.R1.P3,promoter 3,15.0
S3.C1.R1.LY,abs @470nm w/DMSO,3.51925
S3.C1.R1.P1,promoter 1,9.0
S3.C1.R1.P2,promoter 2,18.0
S3.C1.R1.P3,promoter 3,15.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.50558
S3.C1.R1.P1,promoter 1,9.0
S3.C1.R1.P2,promoter 2,11.0
S3.C1.R1.P3,promoter 3,11.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.87631
S3.C1.R1.P1,promoter 1,10.0
S3.C1.R1.P2,promoter 2,22.0
S3.C1.R1.P3,promoter 3,19.0
S3.C1.R1.LY,abs @470nm w/DMSO,3.99118
S3.C1.R1.P1,promoter 1,11.0
S3.C1.R1.P2,promoter 2,14.0
S3.C1.R1.P3,promoter 3,2.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.50365
S3.C1.R1.P1,promoter 1,11.0
S3.C1.R1.P2,promoter 2,4.0
S3.C1.R1.P3,promoter 3,6.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.07042
S3.C1.R1.P1,promoter 1,12.0
S3.C1.R1.P2,promoter 2,12.0
S3.C1.R1.P3,promoter 3,12.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.17319
S3.C1.R1.P1,promoter 1,12.0
S3.C1.R1.P2,promoter 2,3.0
S3.C1.R1.P3,promoter 3,12.0
S3.C1.R1.LY,abs @470nm w/DMSO,4.44812
S3.C1.R1.P1,promoter 1,12.0
S3.C1.R1.P2,promoter 2,20.0
S3.C1.R1.P3,promoter 3,14.0
S3.C1.R1.LY,abs @470nm w/DMSO,0.79646
S3.C1.R1.P1,promoter 1,13.0
S3.C1.R1.P2,promoter 2,1.0
S3.C1.R1.P3,promoter 3,22.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.90019
S3.C1.R1.P1,promoter 1,14.0
S3.C1.R1.P2,promoter 2,11.0
S3.C1.R1.P3,promoter 3,5.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.55559
S3.C1.R1.P1,promoter 1,14.0
S3.C1.R1.P2,promoter 2,19.0
S3.C1.R1.P3,promoter 3,3.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.96645
S3.C1.R1.P1,promoter 1,15.0
S3.C1.R1.P2,promoter 2,3.0
S3.C1.R1.P3,promoter 3,9.0
S3.C1.R1.LY,abs @470nm w/DMSO,0.66126
S3.C1.R1.P1,promoter 1,15.0
S3.C1.R1.P2,promoter 2,24.0
S3.C1.R1.P3,promoter 3,9.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.91714
S3.C1.R1.P1,promoter 1,16.0
S3.C1.R1.P2,promoter 2,16.0
S3.C1.R1.P3,promoter 3,1.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.08503
S3.C1.R1.P1,promoter 1,17.0
S3.C1.R1.P2,promoter 2,20.0
S3.C1.R1.P3,promoter 3,20.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.82859
S3.C1.R1.P1,promoter 1,17.0
S3.C1.R1.P2,promoter 2,10.0
S3.C1.R1.P3,promoter 3,24.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.31958
S3.C1.R1.P1,promoter 1,18.0
S3.C1.R1.P2,promoter 2,6.0
S3.C1.R1.P3,promoter 3,18.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.4122
S3.C1.R1.P1,promoter 1,18.0
S3.C1.R1.P2,promoter 2,9.0
S3.C1.R1.P3,promoter 3,18.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.13279
S3.C1.R1.P1,promoter 1,18.0
S3.C1.R1.P2,promoter 2,14.0
S3.C1.R1.P3,promoter 3,8.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.59691
S3.C1.R1.P1,promoter 1,19.0
S3.C1.R1.P2,promoter 2,19.0
S3.C1.R1.P3,promoter 3,16.0
S3.C1.R1.LY,abs @470nm w/DMSO,0.78047
S3.C1.R1.P1,promoter 1,20.0
S3.C1.R1.P2,promoter 2,17.0
S3.C1.R1.P3,promoter 3,11.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.30347
S3.C1.R1.P1,promoter 1,20.0
S3.C1.R1.P2,promoter 2,1.0
S3.C1.R1.P3,promoter 3,9.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.01321
S3.C1.R1.P1,promoter 1,21.0
S3.C1.R1.P2,promoter 2,21.0
S3.C1.R1.P3,promoter 3,3.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.35603
S3.C1.R1.P1,promoter 1,21.0
S3.C1.R1.P2,promoter 2,6.0
S3.C1.R1.P3,promoter 3,3.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.95203
S3.C1.R1.P1,promoter 1,21.0
S3.C1.R1.P2,promoter 2,23.0
S3.C1.R1.P3,promoter 3,23.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.18811
S3.C1.R1.P1,promoter 1,22.0
S3.C1.R1.P2,promoter 2,10.0
S3.C1.R1.P3,promoter 3,7.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.25478
S3.C1.R1.P1,promoter 1,23.0
S3.C1.R1.P2,promoter 2,2.0
S3.C1.R1.P3,promoter 3,14.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.38032
S3.C1.R1.P1,promoter 1,23.0
S3.C1.R1.P2,promoter 2,16.0
