line name,measurement type,Value
S3.C1.R1.P3,promoter 3,18.0
S3.C1.R1.LY,abs @470nm w/DMSO,1.06371
S3.C1.R1.P1,promoter 1,24.0
S3.C1.R1.P2,promoter 2,15.0
S3.C1.R1.P3,promoter 3,24.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.67794
S3.C1.R1.P1,promoter 1,24.0
S3.C1.R1.P2,promoter 2,8.0
S3.C1.R1.P3,promoter 3,2.0
S3.C1.R1.LY,abs @470nm w/DMSO,2.06274
S4.C1.R1.P1,promoter 1,1.0
S4.C1.R1.P2,promoter 2,1.0
S4.C1.R1.P3,promoter 3,1.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.07653
S4.C1.R1.P1,promoter 1,1.0
S4.C1.R1.P2,promoter 2,13.0
S4.C1.R1.P3,promoter 3,10.0
S4.C1.R1.LY,abs @470nm w/DMSO,0.80869
S4.C1.R1.P1,promoter 1,2.0
S4.C1.R1.P2,promoter 2,23.0
S4.C1.R1.P3,promoter 3,17.0
S4.C1.R1.LY,abs @470nm w/DMSO,0.76127
S4.C1.R1.P1,promoter 1,2.0
S4.C1.R1.P2,promoter 2,7.0
S4.C1.R1.P3,promoter 3,15.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.5492
S4.C1.R1.P1,promoter 1,3.0
S4.C1.R1.P2,promoter 2,15.0
S4.C1.R1.P3,promoter 3,21.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.41596
S4.C1.R1.P1,promoter 1,3.0
S4.C1.R1.P2,promoter 2,12.0
S4.C1.R1.P3,promoter 3,21.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.59705
S4.C1.R1.P1,promoter 1,4.0
S4.C1.R1.P2,promoter 2,4.0
S4.C1.R1.P3,promoter 3,13.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.51772
S4.C1.R1.P1,promoter 1,5.0
S4.C1.R1.P2,promoter 2,8.0
S4.C1.R1.P3,promoter 3,8.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.94892
S4.C1.R1.P1,promoter 1,5.0
S4.C1.R1.P2,promoter 2,22.0
S4.C1.R1.P3,promoter 3,12.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.19962
S4.C1.R1.P1,promoter 1,6.0
S4.C1.R1.P2,promoter 2,18.0
S4.C1.R1.P3,promoter 3,6.0
S4.C1.R1.LY,abs @470nm w/DMSO,3.77526
S4.C1.R1.P1,promoter 1,6.0
S4.C1.R1.P2,promoter 2,21.0
S4.C1.R1.P3,promoter 3,6.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.15689
S4.C1.R1.P1,promoter 1,6.0
S4.C1.R1.P2,promoter 2,2.0
S4.C1.R1.P3,promoter 3,20.0
S4.C1.R1.LY,abs @470nm w/DMSO,3.92468
S4.C1.R1.P1,promoter 1,7.0
S4.C1.R1.P2,promoter 2,7.0
S4.C1.R1.P3,promoter 3,4.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.57691
S4.C1.R1.P1,promoter 1,8.0
S4.C1.R1.P2,promoter 2,5.0
S4.C1.R1.P3,promoter 3,23.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.48956
S4.C1.R1.P1,promoter 1,8.0
S4.C1.R1.P2,promoter 2,13.0
S4.C1.R1.P3,promoter 3,21.0
S4.C1.R1.LY,abs @470nm w/DMSO,0.92942
S4.C1.R1.P1,promoter 1,9.0
S4.C1.R1.P2,promoter 2,9.0
S4.C1.R1.P3,promoter 3,15.0
S4.C1.R1.LY,abs @470nm w/DMSO,3.2793
S4.C1.R1.P1,promoter 1,9.0
S4.C1.R1.P2,promoter 2,18.0
S4.C1.R1.P3,promoter 3,15.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.58086
S4.C1.R1.P1,promoter 1,9.0
S4.C1.R1.P2,promoter 2,11.0
S4.C1.R1.P3,promoter 3,11.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.94176
S4.C1.R1.P1,promoter 1,10.0
S4.C1.R1.P2,promoter 2,22.0
S4.C1.R1.P3,promoter 3,19.0
S4.C1.R1.LY,abs @470nm w/DMSO,4.39029
S4.C1.R1.P1,promoter 1,11.0
S4.C1.R1.P2,promoter 2,14.0
S4.C1.R1.P3,promoter 3,2.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.46785
S4.C1.R1.P1,promoter 1,11.0
S4.C1.R1.P2,promoter 2,4.0
S4.C1.R1.P3,promoter 3,6.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.1507
S4.C1.R1.P1,promoter 1,12.0
S4.C1.R1.P2,promoter 2,12.0
S4.C1.R1.P3,promoter 3,12.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.13179
S4.C1.R1.P1,promoter 1,12.0
S4.C1.R1.P2,promoter 2,3.0
S4.C1.R1.P3,promoter 3,12.0
S4.C1.R1.LY,abs @470nm w/DMSO,3.7531
S4.C1.R1.P1,promoter 1,12.0
S4.C1.R1.P2,promoter 2,20.0
S4.C1.R1.P3,promoter 3,14.0
S4.C1.R1.LY,abs @470nm w/DMSO,0.79646
S4.C1.R1.P1,promoter 1,13.0
S4.C1.R1.P2,promoter 2,1.0
S4.C1.R1.P3,promoter 3,22.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.68906
S4.C1.R1.P1,promoter 1,14.0
S4.C1.R1.P2,promoter 2,11.0
S4.C1.R1.P3,promoter 3,5.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.74764
S4.C1.R1.P1,promoter 1,14.0
S4.C1.R1.P2,promoter 2,19.0
S4.C1.R1.P3,promoter 3,3.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.37916
S4.C1.R1.P1,promoter 1,15.0
S4.C1.R1.P2,promoter 2,3.0
S4.C1.R1.P3,promoter 3,9.0
S4.C1.R1.LY,abs @470nm w/DMSO,0.69275
S4.C1.R1.P1,promoter 1,15.0
S4.C1.R1.P2,promoter 2,24.0
S4.C1.R1.P3,promoter 3,9.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.72543
S4.C1.R1.P1,promoter 1,16.0
S4.C1.R1.P2,promoter 2,16.0
S4.C1.R1.P3,promoter 3,1.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.19089
S4.C1.R1.P1,promoter 1,17.0
S4.C1.R1.P2,promoter 2,20.0
S4.C1.R1.P3,promoter 3,20.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.49985
S4.C1.R1.P1,promoter 1,17.0
S4.C1.R1.P2,promoter 2,10.0
S4.C1.R1.P3,promoter 3,24.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.11339
S4.C1.R1.P1,promoter 1,18.0
S4.C1.R1.P2,promoter 2,6.0
S4.C1.R1.P3,promoter 3,18.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.24584
S4.C1.R1.P1,promoter 1,18.0
S4.C1.R1.P2,promoter 2,9.0
S4.C1.R1.P3,promoter 3,18.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.13279
S4.C1.R1.P1,promoter 1,18.0
S4.C1.R1.P2,promoter 2,14.0
S4.C1.R1.P3,promoter 3,8.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.48019
S4.C1.R1.P1,promoter 1,19.0
S4.C1.R1.P2,promoter 2,19.0
S4.C1.R1.P3,promoter 3,16.0
S4.C1.R1.LY,abs @470nm w/DMSO,0.77161
S4.C1.R1.P1,promoter 1,20.0
S4.C1.R1.P2,promoter 2,17.0
S4.C1.R1.P3,promoter 3,11.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.19507
S4.C1.R1.P1,promoter 1,20.0
S4.C1.R1.P2,promoter 2,1.0
S4.C1.R1.P3,promoter 3,9.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.85487
S4.C1.R1.P1,promoter 1,21.0
S4.C1.R1.P2,promoter 2,21.0
S4.C1.R1.P3,promoter 3,3.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.75828
S4.C1.R1.P1,promoter 1,21.0
S4.C1.R1.P2,promoter 2,6.0
S4.C1.R1.P3,promoter 3,3.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.84237
S4.C1.R1.P1,promoter 1,21.0
S4.C1.R1.P2,promoter 2,23.0
S4.C1.R1.P3,promoter 3,23.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.04127
S4.C1.R1.P1,promoter 1,22.0
S4.C1.R1.P2,promoter 2,10.0
S4.C1.R1.P3,promoter 3,7.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.38026
S4.C1.R1.P1,promoter 1,23.0
S4.C1.R1.P2,promoter 2,2.0
S4.C1.R1.P3,promoter 3,14.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.83065
S4.C1.R1.P1,promoter 1,23.0
S4.C1.R1.P2,promoter 2,16.0
S4.C1.R1.P3,promoter 3,18.0
S4.C1.R1.LY,abs @470nm w/DMSO,1.12555
S4.C1.R1.P1,promoter 1,24.0
S4.C1.R1.P2,promoter 2,15.0
S4.C1.R1.P3,promoter 3,24.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.83926
S4.C1.R1.P1,promoter 1,24.0
S4.C1.R1.P2,promoter 2,8.0
S4.C1.R1.P3,promoter 3,2.0
S4.C1.R1.LY,abs @470nm w/DMSO,2.32058
S1.C2.R2.P1,promoter 1,2.0
S1.C2.R2.P2,promoter 2,3.0
S1.C2.R2.P3,promoter 3,18.0
S1.C2.R2.LY,abs @470nm w/DMSO,0.68389
S1.C2.R2.P1,promoter 1,8.0
S1.C2.R2.P2,promoter 2,3.0
S1.C2.R2.P3,promoter 3,21.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.42208
S1.C2.R2.P1,promoter 1,9.0
S1.C2.R2.P2,promoter 2,3.0
S1.C2.R2.P3,promoter 3,20.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.0163
S1.C2.R2.P1,promoter 1,9.0
S1.C2.R2.P2,promoter 2,7.0
S1.C2.R2.P3,promoter 3,16.0
S1.C2.R2.LY,abs @470nm w/DMSO,4.53049
S1.C2.R2.P1,promoter 1,11.0
S1.C2.R2.P2,promoter 2,3.0
S1.C2.R2.P3,promoter 3,14.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.12034
S1.C2.R2.P1,promoter 1,12.0
S1.C2.R2.P2,promoter 2,3.0
S1.C2.R2.P3,promoter 3,5.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.37836
S1.C2.R2.P1,promoter 1,12.0
S1.C2.R2.P2,promoter 2,12.0
S1.C2.R2.P3,promoter 3,12.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.39559
S1.C2.R2.P1,promoter 1,14.0
S1.C2.R2.P2,promoter 2,3.0
S1.C2.R2.P3,promoter 3,20.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.02709
S1.C2.R2.P1,promoter 1,15.0
S1.C2.R2.P2,promoter 2,7.0
S1.C2.R2.P3,promoter 3,2.0
S1.C2.R2.LY,abs @470nm w/DMSO,3.07646
S1.C2.R2.P1,promoter 1,15.0
S1.C2.R2.P2,promoter 2,8.0
S1.C2.R2.P3,promoter 3,2.0
S1.C2.R2.LY,abs @470nm w/DMSO,3.44918
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,1.0
S1.C2.R2.P3,promoter 3,2.0
S1.C2.R2.LY,abs @470nm w/DMSO,5.09591
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,3.0
S1.C2.R2.P3,promoter 3,22.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.16454
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,4.0
S1.C2.R2.P3,promoter 3,1.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.56512
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,4.0
S1.C2.R2.P3,promoter 3,2.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.22211
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,6.0
S1.C2.R2.P3,promoter 3,1.0
S1.C2.R2.LY,abs @470nm w/DMSO,3.9798
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,6.0
S1.C2.R2.P3,promoter 3,4.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.79591
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,7.0
S1.C2.R2.P3,promoter 3,2.0
S1.C2.R2.LY,abs @470nm w/DMSO,5.22982
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,7.0
S1.C2.R2.P3,promoter 3,5.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.94973
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,9.0
S1.C2.R2.P3,promoter 3,4.0
S1.C2.R2.LY,abs @470nm w/DMSO,4.85367
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,10.0
S1.C2.R2.P3,promoter 3,1.0
S1.C2.R2.LY,abs @470nm w/DMSO,3.13277
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,10.0
S1.C2.R2.P3,promoter 3,4.0
S1.C2.R2.LY,abs @470nm w/DMSO,6.04958
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,10.0
S1.C2.R2.P3,promoter 3,17.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.46781
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,13.0
S1.C2.R2.P3,promoter 3,3.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.39065
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,13.0
S1.C2.R2.P3,promoter 3,4.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.19378
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,15.0
S1.C2.R2.P3,promoter 3,2.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.25239
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,15.0
S1.C2.R2.P3,promoter 3,14.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.18454
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,18.0
S1.C2.R2.P3,promoter 3,1.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.53728
S1.C2.R2.P1,promoter 1,16.0
S1.C2.R2.P2,promoter 2,19.0
S1.C2.R2.P3,promoter 3,16.0
S1.C2.R2.LY,abs @470nm w/DMSO,3.01819
S1.C2.R2.P1,promoter 1,17.0
S1.C2.R2.P2,promoter 2,1.0
S1.C2.R2.P3,promoter 3,16.0
S1.C2.R2.LY,abs @470nm w/DMSO,3.62446
S1.C2.R2.P1,promoter 1,17.0
S1.C2.R2.P2,promoter 2,3.0
S1.C2.R2.P3,promoter 3,18.0
S1.C2.R2.LY,abs @470nm w/DMSO,4.36907
S1.C2.R2.P1,promoter 1,17.0
S1.C2.R2.P2,promoter 2,9.0
S1.C2.R2.P3,promoter 3,18.0
S1.C2.R2.LY,abs @470nm w/DMSO,0.77425
S1.C2.R2.P1,promoter 1,17.0
S1.C2.R2.P2,promoter 2,11.0
S1.C2.R2.P3,promoter 3,16.0
S1.C2.R2.LY,abs @470nm w/DMSO,4.04767
S1.C2.R2.P1,promoter 1,17.0
S1.C2.R2.P2,promoter 2,14.0
S1.C2.R2.P3,promoter 3,18.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.97278
S1.C2.R2.P1,promoter 1,17.0
S1.C2.R2.P2,promoter 2,14.0
S1.C2.R2.P3,promoter 3,20.0
S1.C2.R2.LY,abs @470nm w/DMSO,0.62002
S1.C2.R2.P1,promoter 1,17.0
S1.C2.R2.P2,promoter 2,17.0
S1.C2.R2.P3,promoter 3,14.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.92406
S1.C2.R2.P1,promoter 1,17.0
S1.C2.R2.P2,promoter 2,18.0
S1.C2.R2.P3,promoter 3,16.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.56376
S1.C2.R2.P1,promoter 1,19.0
S1.C2.R2.P2,promoter 2,3.0
S1.C2.R2.P3,promoter 3,13.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.01017
S1.C2.R2.P1,promoter 1,19.0
S1.C2.R2.P2,promoter 2,3.0
S1.C2.R2.P3,promoter 3,20.0
S1.C2.R2.LY,abs @470nm w/DMSO,0.56879
S1.C2.R2.P1,promoter 1,20.0
S1.C2.R2.P2,promoter 2,2.0
S1.C2.R2.P3,promoter 3,3.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.23001
S1.C2.R2.P1,promoter 1,20.0
S1.C2.R2.P2,promoter 2,6.0
S1.C2.R2.P3,promoter 3,3.0
S1.C2.R2.LY,abs @470nm w/DMSO,2.03439
S1.C2.R2.P1,promoter 1,20.0
S1.C2.R2.P2,promoter 2,8.0
S1.C2.R2.P3,promoter 3,7.0
S1.C2.R2.LY,abs @470nm w/DMSO,4.98217
S1.C2.R2.P1,promoter 1,20.0
S1.C2.R2.P2,promoter 2,9.0
S1.C2.R2.P3,promoter 3,2.0
S1.C2.R2.LY,abs @470nm w/DMSO,3.44425
S1.C2.R2.P1,promoter 1,20.0
S1.C2.R2.P2,promoter 2,11.0
S1.C2.R2.P3,promoter 3,3.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.88984
S1.C2.R2.P1,promoter 1,20.0
S1.C2.R2.P2,promoter 2,15.0
S1.C2.R2.P3,promoter 3,4.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.4428
S1.C2.R2.P1,promoter 1,20.0
S1.C2.R2.P2,promoter 2,19.0
S1.C2.R2.P3,promoter 3,3.0
S1.C2.R2.LY,abs @470nm w/DMSO,1.22363
S2.C2.R2.P1,promoter 1,2.0
S2.C2.R2.P2,promoter 2,3.0
S2.C2.R2.P3,promoter 3,18.0
S2.C2.R2.LY,abs @470nm w/DMSO,0.66741
S2.C2.R2.P1,promoter 1,8.0
S2.C2.R2.P2,promoter 2,3.0
S2.C2.R2.P3,promoter 3,21.0
S2.C2.R2.LY,abs @470nm w/DMSO,2.25504
S2.C2.R2.P1,promoter 1,9.0
S2.C2.R2.P2,promoter 2,3.0
S2.C2.R2.P3,promoter 3,20.0
S2.C2.R2.LY,abs @470nm w/DMSO,1.10413
S2.C2.R2.P1,promoter 1,9.0
S2.C2.R2.P2,promoter 2,7.0
S2.C2.R2.P3,promoter 3,16.0
S2.C2.R2.LY,abs @470nm w/DMSO,4.75702
S2.C2.R2.P1,promoter 1,11.0
S2.C2.R2.P2,promoter 2,3.0
S2.C2.R2.P3,promoter 3,14.0
S2.C2.R2.LY,abs @470nm w/DMSO,2.19791
S2.C2.R2.P1,promoter 1,12.0
S2.C2.R2.P2,promoter 2,3.0
S2.C2.R2.P3,promoter 3,5.0
S2.C2.R2.LY,abs @470nm w/DMSO,1.53342
S2.C2.R2.P1,promoter 1,12.0
S2.C2.R2.P2,promoter 2,12.0
S2.C2.R2.P3,promoter 3,12.0
S2.C2.R2.LY,abs @470nm w/DMSO,1.41282
S2.C2.R2.P1,promoter 1,14.0
S2.C2.R2.P2,promoter 2,3.0
S2.C2.R2.P3,promoter 3,20.0
S2.C2.R2.LY,abs @470nm w/DMSO,1.00401
S2.C2.R2.P1,promoter 1,15.0
S2.C2.R2.P2,promoter 2,7.0
S2.C2.R2.P3,promoter 3,2.0
S2.C2.R2.LY,abs @470nm w/DMSO,3.07646
S2.C2.R2.P1,promoter 1,15.0
S2.C2.R2.P2,promoter 2,8.0
S2.C2.R2.P3,promoter 3,2.0
S2.C2.R2.LY,abs @470nm w/DMSO,3.53541
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,1.0
S2.C2.R2.P3,promoter 3,2.0
S2.C2.R2.LY,abs @470nm w/DMSO,4.91814
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,3.0
S2.C2.R2.P3,promoter 3,22.0
S2.C2.R2.LY,abs @470nm w/DMSO,2.04015
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,4.0
S2.C2.R2.P3,promoter 3,1.0
S2.C2.R2.LY,abs @470nm w/DMSO,2.59427
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,4.0
S2.C2.R2.P3,promoter 3,2.0
S2.C2.R2.LY,abs @470nm w/DMSO,2.27697
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,6.0
S2.C2.R2.P3,promoter 3,1.0
S2.C2.R2.LY,abs @470nm w/DMSO,4.07456
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,6.0
S2.C2.R2.P3,promoter 3,4.0
S2.C2.R2.LY,abs @470nm w/DMSO,2.69605
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,7.0
S2.C2.R2.P3,promoter 3,2.0
S2.C2.R2.LY,abs @470nm w/DMSO,5.54487
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,7.0
S2.C2.R2.P3,promoter 3,5.0
S2.C2.R2.LY,abs @470nm w/DMSO,3.20783
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,9.0
S2.C2.R2.P3,promoter 3,4.0
S2.C2.R2.LY,abs @470nm w/DMSO,4.63553
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,10.0
S2.C2.R2.P3,promoter 3,1.0
S2.C2.R2.LY,abs @470nm w/DMSO,3.28559
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,10.0
S2.C2.R2.P3,promoter 3,4.0
S2.C2.R2.LY,abs @470nm w/DMSO,6.19193
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,10.0
S2.C2.R2.P3,promoter 3,17.0
S2.C2.R2.LY,abs @470nm w/DMSO,2.67847
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,13.0
S2.C2.R2.P3,promoter 3,3.0
S2.C2.R2.LY,abs @470nm w/DMSO,1.46018
S2.C2.R2.P1,promoter 1,16.0
S2.C2.R2.P2,promoter 2,13.0
S2.C2.R2.P3,promoter 3,4.0
S2.C2.R2.LY,abs @470nm w/DMSO,1.31316
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,15.0
S3.C2.R2.P3,promoter 3,2.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.4172
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,15.0
S3.C2.R2.P3,promoter 3,14.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.20965
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,18.0
S3.C2.R2.P3,promoter 3,1.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.28355
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,19.0
S3.C2.R2.P3,promoter 3,16.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.948
S3.C2.R2.P1,promoter 1,17.0
S3.C2.R2.P2,promoter 2,1.0
S3.C2.R2.P3,promoter 3,16.0
S3.C2.R2.LY,abs @470nm w/DMSO,3.22174
S3.C2.R2.P1,promoter 1,17.0
S3.C2.R2.P2,promoter 2,3.0
S3.C2.R2.P3,promoter 3,18.0
S3.C2.R2.LY,abs @470nm w/DMSO,4.64213
S3.C2.R2.P1,promoter 1,17.0
S3.C2.R2.P2,promoter 2,9.0
S3.C2.R2.P3,promoter 3,18.0
S3.C2.R2.LY,abs @470nm w/DMSO,0.79361
S3.C2.R2.P1,promoter 1,17.0
S3.C2.R2.P2,promoter 2,11.0
S3.C2.R2.P3,promoter 3,16.0
S3.C2.R2.LY,abs @470nm w/DMSO,4.04767
S3.C2.R2.P1,promoter 1,17.0
S3.C2.R2.P2,promoter 2,14.0
S3.C2.R2.P3,promoter 3,18.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.01976
S3.C2.R2.P1,promoter 1,17.0
S3.C2.R2.P2,promoter 2,14.0
S3.C2.R2.P3,promoter 3,20.0
S3.C2.R2.LY,abs @470nm w/DMSO,0.59184
S3.C2.R2.P1,promoter 1,17.0
S3.C2.R2.P2,promoter 2,17.0
S3.C2.R2.P3,promoter 3,14.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.75206
S3.C2.R2.P1,promoter 1,17.0
S3.C2.R2.P2,promoter 2,18.0
S3.C2.R2.P3,promoter 3,16.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.73968
S3.C2.R2.P1,promoter 1,19.0
S3.C2.R2.P2,promoter 2,3.0
S3.C2.R2.P3,promoter 3,13.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.01017
S3.C2.R2.P1,promoter 1,19.0
S3.C2.R2.P2,promoter 2,3.0
S3.C2.R2.P3,promoter 3,20.0
S3.C2.R2.LY,abs @470nm w/DMSO,0.5962
S3.C2.R2.P1,promoter 1,20.0
S3.C2.R2.P2,promoter 2,2.0
S3.C2.R2.P3,promoter 3,3.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.20378
S3.C2.R2.P1,promoter 1,20.0
S3.C2.R2.P2,promoter 2,6.0
S3.C2.R2.P3,promoter 3,3.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.91611
S3.C2.R2.P1,promoter 1,20.0
S3.C2.R2.P2,promoter 2,8.0
S3.C2.R2.P3,promoter 3,7.0
S3.C2.R2.LY,abs @470nm w/DMSO,4.75044
S3.C2.R2.P1,promoter 1,20.0
S3.C2.R2.P2,promoter 2,9.0
S3.C2.R2.P3,promoter 3,2.0
S3.C2.R2.LY,abs @470nm w/DMSO,3.28217
S3.C2.R2.P1,promoter 1,20.0
S3.C2.R2.P2,promoter 2,11.0
