line name,measurement type,Value
S3.C2.R2.P3,promoter 3,3.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.80194
S3.C2.R2.P1,promoter 1,20.0
S3.C2.R2.P2,promoter 2,15.0
S3.C2.R2.P3,promoter 3,4.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.42541
S3.C2.R2.P1,promoter 1,20.0
S3.C2.R2.P2,promoter 2,19.0
S3.C2.R2.P3,promoter 3,3.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.31316
S3.C2.R2.P1,promoter 1,2.0
S3.C2.R2.P2,promoter 2,3.0
S3.C2.R2.P3,promoter 3,18.0
S3.C2.R2.LY,abs @470nm w/DMSO,0.66741
S3.C2.R2.P1,promoter 1,8.0
S3.C2.R2.P2,promoter 2,3.0
S3.C2.R2.P3,promoter 3,21.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.39424
S3.C2.R2.P1,promoter 1,9.0
S3.C2.R2.P2,promoter 2,3.0
S3.C2.R2.P3,promoter 3,20.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.02884
S3.C2.R2.P1,promoter 1,9.0
S3.C2.R2.P2,promoter 2,7.0
S3.C2.R2.P3,promoter 3,16.0
S3.C2.R2.LY,abs @470nm w/DMSO,4.92691
S3.C2.R2.P1,promoter 1,11.0
S3.C2.R2.P2,promoter 2,3.0
S3.C2.R2.P3,promoter 3,14.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.09448
S3.C2.R2.P1,promoter 1,12.0
S3.C2.R2.P2,promoter 2,3.0
S3.C2.R2.P3,promoter 3,5.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.4645
S3.C2.R2.P1,promoter 1,12.0
S3.C2.R2.P2,promoter 2,12.0
S3.C2.R2.P3,promoter 3,12.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.37836
S3.C2.R2.P1,promoter 1,14.0
S3.C2.R2.P2,promoter 2,3.0
S3.C2.R2.P3,promoter 3,20.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.00401
S3.C2.R2.P1,promoter 1,15.0
S3.C2.R2.P2,promoter 2,7.0
S3.C2.R2.P3,promoter 3,2.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.96659
S3.C2.R2.P1,promoter 1,15.0
S3.C2.R2.P2,promoter 2,8.0
S3.C2.R2.P3,promoter 3,2.0
S3.C2.R2.LY,abs @470nm w/DMSO,3.7941
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,1.0
S3.C2.R2.P3,promoter 3,2.0
S3.C2.R2.LY,abs @470nm w/DMSO,5.21442
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,3.0
S3.C2.R2.P3,promoter 3,22.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.11478
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,4.0
S3.C2.R2.P3,promoter 3,1.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.36107
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,4.0
S3.C2.R2.P3,promoter 3,2.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.22211
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,6.0
S3.C2.R2.P3,promoter 3,1.0
S3.C2.R2.LY,abs @470nm w/DMSO,3.93242
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,6.0
S3.C2.R2.P3,promoter 3,4.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.72934
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,7.0
S3.C2.R2.P3,promoter 3,2.0
S3.C2.R2.LY,abs @470nm w/DMSO,5.1038
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,7.0
S3.C2.R2.P3,promoter 3,5.0
S3.C2.R2.LY,abs @470nm w/DMSO,3.13409
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,9.0
S3.C2.R2.P3,promoter 3,4.0
S3.C2.R2.LY,abs @470nm w/DMSO,4.7446
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,10.0
S3.C2.R2.P3,promoter 3,1.0
S3.C2.R2.LY,abs @470nm w/DMSO,3.13277
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,10.0
S3.C2.R2.P3,promoter 3,4.0
S3.C2.R2.LY,abs @470nm w/DMSO,6.12075
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,10.0
S3.C2.R2.P3,promoter 3,17.0
S3.C2.R2.LY,abs @470nm w/DMSO,2.61828
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,13.0
S3.C2.R2.P3,promoter 3,3.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.47756
S3.C2.R2.P1,promoter 1,16.0
S3.C2.R2.P2,promoter 2,13.0
S3.C2.R2.P3,promoter 3,4.0
S3.C2.R2.LY,abs @470nm w/DMSO,1.32808
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,15.0
S4.C2.R2.P3,promoter 3,2.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.22492
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,15.0
S4.C2.R2.P3,promoter 3,14.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.15943
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,18.0
S4.C2.R2.P3,promoter 3,1.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.53728
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,19.0
S4.C2.R2.P3,promoter 3,16.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.87781
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,1.0
S4.C2.R2.P3,promoter 3,16.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.34256
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,18.0
S4.C2.R2.LY,abs @470nm w/DMSO,4.86059
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,9.0
S4.C2.R2.P3,promoter 3,18.0
S4.C2.R2.LY,abs @470nm w/DMSO,0.81296
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,11.0
S4.C2.R2.P3,promoter 3,16.0
S4.C2.R2.LY,abs @470nm w/DMSO,4.34028
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,14.0
S4.C2.R2.P3,promoter 3,18.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.01976
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,14.0
S4.C2.R2.P3,promoter 3,20.0
S4.C2.R2.LY,abs @470nm w/DMSO,0.63411
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,17.0
S4.C2.R2.P3,promoter 3,14.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.99287
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,18.0
S4.C2.R2.P3,promoter 3,16.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.6224
S4.C2.R2.P1,promoter 1,19.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,13.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.96449
S4.C2.R2.P1,promoter 1,19.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,20.0
S4.C2.R2.LY,abs @470nm w/DMSO,0.56879
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,2.0
S4.C2.R2.P3,promoter 3,3.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.12507
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,6.0
S4.C2.R2.P3,promoter 3,3.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.98708
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,8.0
S4.C2.R2.P3,promoter 3,7.0
S4.C2.R2.LY,abs @470nm w/DMSO,4.63458
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,9.0
S4.C2.R2.P3,promoter 3,2.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.40373
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,11.0
S4.C2.R2.P3,promoter 3,3.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.88984
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,15.0
S4.C2.R2.P3,promoter 3,4.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.5471
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,19.0
S4.C2.R2.P3,promoter 3,3.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.32808
S4.C2.R2.P1,promoter 1,2.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,18.0
S4.C2.R2.LY,abs @470nm w/DMSO,0.78277
S4.C2.R2.P1,promoter 1,8.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,21.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.39424
S4.C2.R2.P1,promoter 1,9.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,20.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.11667
S4.C2.R2.P1,promoter 1,9.0
S4.C2.R2.P2,promoter 2,7.0
S4.C2.R2.P3,promoter 3,16.0
S4.C2.R2.LY,abs @470nm w/DMSO,5.04017
S4.C2.R2.P1,promoter 1,11.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,14.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.37892
S4.C2.R2.P1,promoter 1,12.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,5.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.48173
S4.C2.R2.P1,promoter 1,12.0
S4.C2.R2.P2,promoter 2,12.0
S4.C2.R2.P3,promoter 3,12.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.67126
S4.C2.R2.P1,promoter 1,14.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,20.0
S4.C2.R2.LY,abs @470nm w/DMSO,0.8886
S4.C2.R2.P1,promoter 1,15.0
S4.C2.R2.P2,promoter 2,7.0
S4.C2.R2.P3,promoter 3,2.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.33283
S4.C2.R2.P1,promoter 1,15.0
S4.C2.R2.P2,promoter 2,8.0
S4.C2.R2.P3,promoter 3,2.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.88033
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,1.0
S4.C2.R2.P3,promoter 3,2.0
S4.C2.R2.LY,abs @470nm w/DMSO,4.91814
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,22.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.13966
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,4.0
S4.C2.R2.P3,promoter 3,1.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.39022
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,4.0
S4.C2.R2.P3,promoter 3,2.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.60617
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,6.0
S4.C2.R2.P3,promoter 3,1.0
S4.C2.R2.LY,abs @470nm w/DMSO,4.12194
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,6.0
S4.C2.R2.P3,promoter 3,4.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.09547
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,7.0
S4.C2.R2.P3,promoter 3,2.0
S4.C2.R2.LY,abs @470nm w/DMSO,5.54487
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,7.0
S4.C2.R2.P3,promoter 3,5.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.2447
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,9.0
S4.C2.R2.P3,promoter 3,4.0
S4.C2.R2.LY,abs @470nm w/DMSO,4.30832
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,10.0
S4.C2.R2.P3,promoter 3,1.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.4384
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,10.0
S4.C2.R2.P3,promoter 3,4.0
S4.C2.R2.LY,abs @470nm w/DMSO,5.83607
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,10.0
S4.C2.R2.P3,promoter 3,17.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.46781
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,13.0
S4.C2.R2.P3,promoter 3,3.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.58186
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,13.0
S4.C2.R2.P3,promoter 3,4.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.23855
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,15.0
S4.C2.R2.P3,promoter 3,2.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.44467
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,15.0
S4.C2.R2.P3,promoter 3,14.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.98366
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,18.0
S4.C2.R2.P3,promoter 3,1.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.22717
S4.C2.R2.P1,promoter 1,16.0
S4.C2.R2.P2,promoter 2,19.0
S4.C2.R2.P3,promoter 3,16.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.08838
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,1.0
S4.C2.R2.P3,promoter 3,16.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.50365
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,18.0
S4.C2.R2.LY,abs @470nm w/DMSO,4.69675
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,9.0
S4.C2.R2.P3,promoter 3,18.0
S4.C2.R2.LY,abs @470nm w/DMSO,0.90974
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,11.0
S4.C2.R2.P3,promoter 3,16.0
S4.C2.R2.LY,abs @470nm w/DMSO,4.14521
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,14.0
S4.C2.R2.P3,promoter 3,18.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.97278
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,14.0
S4.C2.R2.P3,promoter 3,20.0
S4.C2.R2.LY,abs @470nm w/DMSO,0.54956
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,17.0
S4.C2.R2.P3,promoter 3,14.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.02727
S4.C2.R2.P1,promoter 1,17.0
S4.C2.R2.P2,promoter 2,18.0
S4.C2.R2.P3,promoter 3,16.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.72013
S4.C2.R2.P1,promoter 1,19.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,13.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.78174
S4.C2.R2.P1,promoter 1,19.0
S4.C2.R2.P2,promoter 2,3.0
S4.C2.R2.P3,promoter 3,20.0
S4.C2.R2.LY,abs @470nm w/DMSO,0.5962
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,2.0
S4.C2.R2.P3,promoter 3,3.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.36119
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,6.0
S4.C2.R2.P3,promoter 3,3.0
S4.C2.R2.LY,abs @470nm w/DMSO,2.10536
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,8.0
S4.C2.R2.P3,promoter 3,7.0
S4.C2.R2.LY,abs @470nm w/DMSO,5.32976
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,9.0
S4.C2.R2.P3,promoter 3,2.0
S4.C2.R2.LY,abs @470nm w/DMSO,3.64685
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,11.0
S4.C2.R2.P3,promoter 3,3.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.88984
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,15.0
S4.C2.R2.P3,promoter 3,4.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.49495
S4.C2.R2.P1,promoter 1,20.0
S4.C2.R2.P2,promoter 2,19.0
S4.C2.R2.P3,promoter 3,3.0
S4.C2.R2.LY,abs @470nm w/DMSO,1.2087
S1.C3.R3.P1,promoter 1,4.0
S1.C3.R3.P2,promoter 2,3.0
S1.C3.R3.P3,promoter 3,14.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.09846
S1.C3.R3.P1,promoter 1,6.0
S1.C3.R3.P2,promoter 2,1.0
S1.C3.R3.P3,promoter 3,17.0
S1.C3.R3.LY,abs @470nm w/DMSO,1.64662
S1.C3.R3.P1,promoter 1,9.0
S1.C3.R3.P2,promoter 2,10.0
S1.C3.R3.P3,promoter 3,3.0
S1.C3.R3.LY,abs @470nm w/DMSO,5.06791
S1.C3.R3.P1,promoter 1,10.0
S1.C3.R3.P2,promoter 2,3.0
S1.C3.R3.P3,promoter 3,15.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.56068
S1.C3.R3.P1,promoter 1,10.0
S1.C3.R3.P2,promoter 2,6.0
S1.C3.R3.P3,promoter 3,12.0
S1.C3.R3.LY,abs @470nm w/DMSO,8.65595
S1.C3.R3.P1,promoter 1,11.0
S1.C3.R3.P2,promoter 2,10.0
S1.C3.R3.P3,promoter 3,3.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.04252
S1.C3.R3.P1,promoter 1,12.0
S1.C3.R3.P2,promoter 2,3.0
S1.C3.R3.P3,promoter 3,11.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.62651
S1.C3.R3.P1,promoter 1,12.0
S1.C3.R3.P2,promoter 2,3.0
S1.C3.R3.P3,promoter 3,4.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.93086
S1.C3.R3.P1,promoter 1,12.0
S1.C3.R3.P2,promoter 2,12.0
S1.C3.R3.P3,promoter 3,12.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.42588
S1.C3.R3.P1,promoter 1,14.0
S1.C3.R3.P2,promoter 2,3.0
S1.C3.R3.P3,promoter 3,15.0
S1.C3.R3.LY,abs @470nm w/DMSO,4.21687
S1.C3.R3.P1,promoter 1,15.0
S1.C3.R3.P2,promoter 2,6.0
S1.C3.R3.P3,promoter 3,2.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.61767
S1.C3.R3.P1,promoter 1,15.0
S1.C3.R3.P2,promoter 2,10.0
S1.C3.R3.P3,promoter 3,5.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.808
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,2.0
S1.C3.R3.P3,promoter 3,2.0
S1.C3.R3.LY,abs @470nm w/DMSO,4.87156
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,2.0
S1.C3.R3.P3,promoter 3,12.0
S1.C3.R3.LY,abs @470nm w/DMSO,7.05038
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,3.0
S1.C3.R3.P3,promoter 3,14.0
S1.C3.R3.LY,abs @470nm w/DMSO,6.21888
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,4.0
S1.C3.R3.P3,promoter 3,1.0
S1.C3.R3.LY,abs @470nm w/DMSO,4.95138
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,4.0
S1.C3.R3.P3,promoter 3,2.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.70967
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,5.0
S1.C3.R3.P3,promoter 3,1.0
S1.C3.R3.LY,abs @470nm w/DMSO,8.71958
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,5.0
S1.C3.R3.P3,promoter 3,3.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.86568
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,6.0
S1.C3.R3.P3,promoter 3,2.0
S1.C3.R3.LY,abs @470nm w/DMSO,8.51768
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,7.0
S1.C3.R3.P3,promoter 3,1.0
S1.C3.R3.LY,abs @470nm w/DMSO,1.70345
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,7.0
S1.C3.R3.P3,promoter 3,3.0
S1.C3.R3.LY,abs @470nm w/DMSO,1.1559
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,7.0
S1.C3.R3.P3,promoter 3,14.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.94978
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,8.0
S1.C3.R3.P3,promoter 3,1.0
S1.C3.R3.LY,abs @470nm w/DMSO,1.60723
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,8.0
S1.C3.R3.P3,promoter 3,2.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.31541
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,8.0
S1.C3.R3.P3,promoter 3,3.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.00045
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,8.0
S1.C3.R3.P3,promoter 3,13.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.93628
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,9.0
S1.C3.R3.P3,promoter 3,12.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.59193
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,10.0
S1.C3.R3.P3,promoter 3,3.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.87549
S1.C3.R3.P1,promoter 1,16.0
S1.C3.R3.P2,promoter 2,10.0
S1.C3.R3.P3,promoter 3,9.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.92321
S1.C3.R3.P1,promoter 1,17.0
S1.C3.R3.P2,promoter 2,5.0
S1.C3.R3.P3,promoter 3,9.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.79393
S1.C3.R3.P1,promoter 1,17.0
S1.C3.R3.P2,promoter 2,6.0
S1.C3.R3.P3,promoter 3,1.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.85787
S1.C3.R3.P1,promoter 1,17.0
S1.C3.R3.P2,promoter 2,8.0
S1.C3.R3.P3,promoter 3,18.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.62218
S1.C3.R3.P1,promoter 1,17.0
S1.C3.R3.P2,promoter 2,9.0
S1.C3.R3.P3,promoter 3,3.0
S1.C3.R3.LY,abs @470nm w/DMSO,1.42044
S1.C3.R3.P1,promoter 1,17.0
S1.C3.R3.P2,promoter 2,10.0
S1.C3.R3.P3,promoter 3,3.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.77818
S1.C3.R3.P1,promoter 1,17.0
S1.C3.R3.P2,promoter 2,10.0
S1.C3.R3.P3,promoter 3,4.0
S1.C3.R3.LY,abs @470nm w/DMSO,3.32709
S1.C3.R3.P1,promoter 1,17.0
S1.C3.R3.P2,promoter 2,10.0
S1.C3.R3.P3,promoter 3,5.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.9936
S1.C3.R3.P1,promoter 1,17.0
S1.C3.R3.P2,promoter 2,10.0
S1.C3.R3.P3,promoter 3,6.0
S1.C3.R3.LY,abs @470nm w/DMSO,1.76945
S1.C3.R3.P1,promoter 1,18.0
S1.C3.R3.P2,promoter 2,3.0
S1.C3.R3.P3,promoter 3,14.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.16986
S1.C3.R3.P1,promoter 1,18.0
S1.C3.R3.P2,promoter 2,3.0
S1.C3.R3.P3,promoter 3,10.0
S1.C3.R3.LY,abs @470nm w/DMSO,5.66598
S1.C3.R3.P1,promoter 1,18.0
S1.C3.R3.P2,promoter 2,3.0
S1.C3.R3.P3,promoter 3,15.0
S1.C3.R3.LY,abs @470nm w/DMSO,7.52012
S1.C3.R3.P1,promoter 1,18.0
S1.C3.R3.P2,promoter 2,8.0
S1.C3.R3.P3,promoter 3,3.0
S1.C3.R3.LY,abs @470nm w/DMSO,2.076
S1.C3.R3.P1,promoter 1,18.0
S1.C3.R3.P2,promoter 2,10.0
S1.C3.R3.P3,promoter 3,2.0
S1.C3.R3.LY,abs @470nm w/DMSO,9.17362
S1.C3.R3.P1,promoter 1,19.0
S1.C3.R3.P2,promoter 2,10.0
