Line Name,Measurement Type,promoter 1,promoter 2,promoter 3,abs @470nm w/DMSO,
S1.C1.R1.P1,promoter 1,1,1,1,1.06356,
S1.C1.R1.P2,promoter 2,1,13,10,0.79031,
S1.C1.R1.P3,promoter 3,2,23,17,0.93044,
S1.C1.R1.LY,abs @470nm w/DMSO,2,7,15,1.77051,
S1.C1.R1.P1,promoter 1,3,15,21,1.43224,
S1.C1.R1.P2,promoter 2,3,12,21,2.72854,
S1.C1.R1.P3,promoter 3,4,4,13,1.41765,
S1.C1.R1.LY,abs @470nm w/DMSO,5,8,8,1.7939,
S1.C1.R1.P1,promoter 1,5,22,12,1.93662,
S1.C1.R1.P2,promoter 2,6,18,6,3.55577,
S1.C1.R1.P3,promoter 3,6,21,6,1.04372,
S1.C1.R1.LY,abs @470nm w/DMSO,6,2,20,3.65709,
S1.C1.R1.P1,promoter 1,7,7,4,1.48731,
S1.C1.R1.P2,promoter 2,8,5,23,2.14156,
S1.C1.R1.P3,promoter 3,8,13,21,0.80819,
S1.C1.R1.LY,abs @470nm w/DMSO,9,9,15,3.2793,
S1.C1.R1.P1,promoter 1,9,18,15,1.6185,
S1.C1.R1.P2,promoter 2,9,11,11,1.7454,
S1.C1.R1.P3,promoter 3,10,22,19,4.29051,
S1.C1.R1.LY,abs @470nm w/DMSO,11,14,2,1.55735,
S1.C1.R1.P1,promoter 1,11,4,6,1.19085,
S1.C1.R1.P2,promoter 2,12,12,12,1.2284,
S1.C1.R1.P3,promoter 3,12,3,12,3.79943,
S1.C1.R1.LY,abs @470nm w/DMSO,12,20,14,0.79646,
S1.C1.R1.P1,promoter 1,13,1,22,1.71017,
S1.C1.R1.P2,promoter 2,14,11,5,1.67082,
S1.C1.R1.P3,promoter 3,14,19,3,1.94217,
S1.C1.R1.LY,abs @470nm w/DMSO,15,3,9,0.65339,
S1.C1.R1.P1,promoter 1,15,24,9,1.76803,
S1.C1.R1.P2,promoter 2,16,16,1,1.16442,
S1.C1.R1.P3,promoter 3,17,20,20,1.82859,
S1.C1.R1.LY,abs @470nm w/DMSO,17,10,24,2.06185,
S1.C1.R1.P1,promoter 1,18,6,18,2.49538,
S1.C1.R1.P2,promoter 2,18,9,18,1.14597,
S1.C1.R1.P3,promoter 3,18,14,8,2.48019,
S1.C1.R1.LY,abs @470nm w/DMSO,19,19,16,0.70952,
S1.C1.R1.P1,promoter 1,20,17,11,2.30347,
S1.C1.R1.P2,promoter 2,20,1,9,1.96797,
S1.C1.R1.P3,promoter 3,21,21,3,2.35603,
S1.C1.R1.LY,abs @470nm w/DMSO,21,6,3,1.7985,
S1.C1.R1.P1,promoter 1,21,23,23,1.12137,
S1.C1.R1.P2,promoter 2,22,10,7,1.41163,
S1.C1.R1.P3,promoter 3,23,2,14,2.89498,
S1.C1.R1.LY,abs @470nm w/DMSO,23,16,18,1.00186,
S1.C1.R1.P1,promoter 1,24,15,24,2.87153,
S1.C1.R1.P2,promoter 2,24,8,2,2.32058,
S1.C1.R1.P3,promoter 3,1,1,1,1.15435,
S1.C1.R1.LY,abs @470nm w/DMSO,1,13,10,0.77193,
S1.C1.R1.P1,promoter 1,2,23,17,0.95159,
S1.C1.R1.P2,promoter 2,2,7,15,1.81075,
S1.C1.R1.P3,promoter 3,3,15,21,1.35086,
S1.C1.R1.LY,abs @470nm w/DMSO,3,12,21,2.92579,
S1.C1.R1.P1,promoter 1,4,4,13,1.38429,
S1.C1.R1.P2,promoter 2,5,8,8,1.83819,
S1.C1.R1.P3,promoter 3,5,22,12,1.91271,
S1.C1.R1.LY,abs @470nm w/DMSO,6,18,6,3.95086,
S1.C1.R1.P1,promoter 1,6,21,6,1.03114,
S1.C1.R1.P2,promoter 2,6,2,20,3.61249,
S1.C1.R1.P3,promoter 3,7,7,4,1.48731,
S1.C1.R1.LY,abs @470nm w/DMSO,8,5,23,2.22187,
S1.C1.R1.P1,promoter 1,8,13,21,0.81829,
S1.C1.R1.P2,promoter 2,9,9,15,3.51925,
S1.C1.R1.P3,promoter 3,9,18,15,1.69378,
S1.C1.R1.LY,abs @470nm w/DMSO,9,11,11,1.85449,
S1.C1.R1.P1,promoter 1,10,22,19,4.29051,
S1.C1.R1.P2,promoter 2,11,14,2,1.55735,
S1.C1.R1.P3,promoter 3,11,4,6,1.13732,
S1.C1.R1.LY,abs @470nm w/DMSO,12,12,12,1.15939,
S1.C1.R1.P1,promoter 1,12,3,12,3.7531,
S1.C1.R1.P2,promoter 2,12,20,14,0.75941,
S1.C1.R1.P3,promoter 3,13,1,22,1.87907,
S1.C1.R1.LY,abs @470nm w/DMSO,14,11,5,1.55559,
S1.C1.R1.P1,promoter 1,14,19,3,1.96645,
S1.C1.R1.P2,promoter 2,15,3,9,0.66914,
S1.C1.R1.P3,promoter 3,15,24,9,1.83194,
S1.C1.R1.LY,abs @470nm w/DMSO,16,16,1,1.05857,
S1.C1.R1.P1,promoter 1,17,20,20,1.82859,
S1.C1.R1.P2,promoter 2,17,10,24,2.26803,
S1.C1.R1.P3,promoter 3,18,6,18,2.27357,
S1.C1.R1.LY,abs @470nm w/DMSO,18,9,18,1.06693,
S1.C1.R1.P1,promoter 1,18,14,8,2.36348,
S1.C1.R1.P2,promoter 2,19,19,16,0.75387,
S1.C1.R1.P3,promoter 3,20,17,11,2.41187,
S1.C1.R1.LY,abs @470nm w/DMSO,20,1,9,1.85487,
S1.C1.R1.P1,promoter 1,21,21,3,2.29856,
S1.C1.R1.P2,promoter 2,21,6,3,1.8643,
S1.C1.R1.P3,promoter 3,21,23,23,1.18811,
S1.C1.R1.LY,abs @470nm w/DMSO,22,10,7,1.28615,
S1.C1.R1.P1,promoter 1,23,2,14,2.83065,
S1.C1.R1.P2,promoter 2,23,16,18,1.01423,
S1.C1.R1.P3,promoter 3,24,15,24,2.58115,
S1.C1.R1.LY,abs @470nm w/DMSO,24,8,2,2.06274,
S1.C1.R1.P1,promoter 1,1,1,1,1.11544,
S1.C1.R1.P2,promoter 2,1,13,10,0.75355,
S1.C1.R1.P3,promoter 3,2,23,17,0.95159,
S1.C1.R1.LY,abs @470nm w/DMSO,2,7,15,1.71016,
S1.C1.R1.P1,promoter 1,3,15,21,1.33459,
S1.C1.R1.P2,promoter 2,3,12,21,2.92579,
S1.C1.R1.P3,promoter 3,4,4,13,1.35093,
S1.C1.R1.LY,abs @470nm w/DMSO,5,8,8,1.94892,
S1.C1.R1.P1,promoter 1,5,22,12,2.08008,
S1.C1.R1.P2,promoter 2,6,18,6,3.64357,
S1.C1.R1.P3,promoter 3,6,21,6,1.04372,
S1.C1.R1.LY,abs @470nm w/DMSO,6,2,20,3.96928,
S1.C1.R1.P1,promoter 1,7,7,4,1.54107,
S1.C1.R1.P2,promoter 2,8,5,23,2.24864,
S1.C1.R1.P3,promoter 3,8,13,21,0.87891,
S1.C1.R1.LY,abs @470nm w/DMSO,9,9,15,3.51925,
S1.C1.R1.P1,promoter 1,9,18,15,1.50558,
S1.C1.R1.P2,promoter 2,9,11,11,1.87631,
S1.C1.R1.P3,promoter 3,10,22,19,3.99118,
S1.C1.R1.LY,abs @470nm w/DMSO,11,14,2,1.50365,
S1.C1.R1.P1,promoter 1,11,4,6,1.07042,
S1.C1.R1.P2,promoter 2,12,12,12,1.17319,
S1.C1.R1.P3,promoter 3,12,3,12,4.44812,
S1.C1.R1.LY,abs @470nm w/DMSO,12,20,14,0.79646,
S1.C1.R1.P1,promoter 1,13,1,22,1.90019,
S1.C1.R1.P2,promoter 2,14,11,5,1.55559,
S1.C1.R1.P3,promoter 3,14,19,3,1.96645,
S1.C1.R1.LY,abs @470nm w/DMSO,15,3,9,0.66126,
S1.C1.R1.P1,promoter 1,15,24,9,1.91714,
S1.C1.R1.P2,promoter 2,16,16,1,1.08503,
S1.C1.R1.P3,promoter 3,17,20,20,1.82859,
S1.C1.R1.LY,abs @470nm w/DMSO,17,10,24,2.31958,
S1.C1.R1.P1,promoter 1,18,6,18,2.4122,
S1.C1.R1.P2,promoter 2,18,9,18,1.13279,
S1.C1.R1.P3,promoter 3,18,14,8,2.59691,
S1.C1.R1.LY,abs @470nm w/DMSO,19,19,16,0.78047,
S1.C1.R1.P1,promoter 1,20,17,11,2.30347,
S1.C1.R1.P2,promoter 2,20,1,9,2.01321,
S1.C1.R1.P3,promoter 3,21,21,3,2.35603,
S1.C1.R1.LY,abs @470nm w/DMSO,21,6,3,1.95203,
S1.C1.R1.P1,promoter 1,21,23,23,1.18811,
S1.C1.R1.P2,promoter 2,22,10,7,1.25478,
S1.C1.R1.P3,promoter 3,23,2,14,2.38032,
S1.C1.R1.LY,abs @470nm w/DMSO,23,16,18,1.06371,
S1.C1.R1.P1,promoter 1,24,15,24,2.67794,
S1.C1.R1.P2,promoter 2,24,8,2,2.06274,
S1.C1.R1.P3,promoter 3,1,1,1,1.07653,
S1.C1.R1.LY,abs @470nm w/DMSO,1,13,10,0.80869,
S1.C1.R1.P1,promoter 1,2,23,17,0.76127,
S1.C1.R1.P2,promoter 2,2,7,15,1.5492,
S1.C1.R1.P3,promoter 3,3,15,21,1.41596,
S1.C1.R1.LY,abs @470nm w/DMSO,3,12,21,2.59705,
S1.C1.R1.P1,promoter 1,4,4,13,1.51772,
S1.C1.R1.P2,promoter 2,5,8,8,1.94892,
S1.C1.R1.P3,promoter 3,5,22,12,2.19962,
S1.C1.R1.LY,abs @470nm w/DMSO,6,18,6,3.77526,
S1.C1.R1.P1,promoter 1,6,21,6,1.15689,
S1.C1.R1.P2,promoter 2,6,2,20,3.92468,
S1.C1.R1.P3,promoter 3,7,7,4,1.57691,
S1.C1.R1.LY,abs @470nm w/DMSO,8,5,23,2.48956,
S1.C1.R1.P1,promoter 1,8,13,21,0.92942,
S1.C1.R1.P2,promoter 2,9,9,15,3.2793,
S1.C1.R1.P3,promoter 3,9,18,15,1.58086,
S1.C1.R1.LY,abs @470nm w/DMSO,9,11,11,1.94176,
S1.C1.R1.P1,promoter 1,10,22,19,4.39029,
S1.C1.R1.P2,promoter 2,11,14,2,1.46785,
S1.C1.R1.P3,promoter 3,11,4,6,1.1507,
S1.C1.R1.LY,abs @470nm w/DMSO,12,12,12,1.13179,
S1.C1.R1.P1,promoter 1,12,3,12,3.7531,
S1.C1.R1.P2,promoter 2,12,20,14,0.79646,
S1.C1.R1.P3,promoter 3,13,1,22,1.68906,
S1.C1.R1.LY,abs @470nm w/DMSO,14,11,5,1.74764,
S1.C1.R1.P1,promoter 1,14,19,3,2.37916,
S1.C1.R1.P2,promoter 2,15,3,9,0.69275,
S1.C1.R1.P3,promoter 3,15,24,9,1.72543,
S1.C1.R1.LY,abs @470nm w/DMSO,16,16,1,1.19089,
S1.C1.R1.P1,promoter 1,17,20,20,1.49985,
S1.C1.R1.P2,promoter 2,17,10,24,2.11339,
S1.C1.R1.P3,promoter 3,18,6,18,2.24584,
S1.C1.R1.LY,abs @470nm w/DMSO,18,9,18,1.13279,
S1.C1.R1.P1,promoter 1,18,14,8,2.48019,
S1.C1.R1.P2,promoter 2,19,19,16,0.77161,
S1.C1.R1.P3,promoter 3,20,17,11,2.19507,
S1.C1.R1.LY,abs @470nm w/DMSO,20,1,9,1.85487,
S1.C1.R1.P1,promoter 1,21,21,3,2.75828,
S1.C1.R1.P2,promoter 2,21,6,3,1.84237,
S1.C1.R1.P3,promoter 3,21,23,23,1.04127,
S1.C1.R1.LY,abs @470nm w/DMSO,22,10,7,1.38026,
S1.C1.R1.P1,promoter 1,23,2,14,2.83065,
S1.C1.R1.P2,promoter 2,23,16,18,1.12555,
S1.C1.R1.P3,promoter 3,24,15,24,2.83926,
S1.C1.R1.LY,abs @470nm w/DMSO,24,8,2,2.32058,
S2.C1.R1.P1,promoter 1,2,3,18,0.68389,
S2.C1.R1.P2,promoter 2,8,3,21,2.42208,
S2.C1.R1.P3,promoter 3,9,3,20,1.0163,
S2.C1.R1.LY,abs @470nm w/DMSO,9,7,16,4.53049,
S2.C1.R1.P1,promoter 1,11,3,14,2.12034,
S2.C1.R1.P2,promoter 2,12,3,5,1.37836,
S2.C1.R1.P3,promoter 3,12,12,12,1.39559,
S2.C1.R1.LY,abs @470nm w/DMSO,14,3,20,1.02709,
S2.C1.R1.P1,promoter 1,15,7,2,3.07646,
S2.C1.R1.P2,promoter 2,15,8,2,3.44918,
S2.C1.R1.P3,promoter 3,16,1,2,5.09591,
S2.C1.R1.LY,abs @470nm w/DMSO,16,3,22,2.16454,
S2.C1.R1.P1,promoter 1,16,4,1,2.56512,
S2.C1.R1.P2,promoter 2,16,4,2,2.22211,
S2.C1.R1.P3,promoter 3,16,6,1,3.9798,
S2.C1.R1.LY,abs @470nm w/DMSO,16,6,4,2.79591,
S2.C1.R1.P1,promoter 1,16,7,2,5.22982,
S2.C1.R1.P2,promoter 2,16,7,5,2.94973,
S2.C1.R1.P3,promoter 3,16,9,4,4.85367,
S2.C1.R1.LY,abs @470nm w/DMSO,16,10,1,3.13277,
S2.C1.R1.P1,promoter 1,16,10,4,6.04958,
S2.C1.R1.P2,promoter 2,16,10,17,2.46781,
S2.C1.R1.P3,promoter 3,16,13,3,1.39065,
S2.C1.R1.LY,abs @470nm w/DMSO,16,13,4,1.19378,
S2.C1.R1.P1,promoter 1,16,15,2,2.25239,
S2.C1.R1.P2,promoter 2,16,15,14,2.18454,
S2.C1.R1.P3,promoter 3,16,18,1,2.53728,
S2.C1.R1.LY,abs @470nm w/DMSO,16,19,16,3.01819,
S2.C1.R1.P1,promoter 1,17,1,16,3.62446,
S2.C1.R1.P2,promoter 2,17,3,18,4.36907,
S2.C1.R1.P3,promoter 3,17,9,18,0.77425,
S2.C1.R1.LY,abs @470nm w/DMSO,17,11,16,4.04767,
S2.C1.R1.P1,promoter 1,17,14,18,1.97278,
S2.C1.R1.P2,promoter 2,17,14,20,0.62002,
S2.C1.R1.P3,promoter 3,17,17,14,2.92406,
S2.C1.R1.LY,abs @470nm w/DMSO,17,18,16,1.56376,
S2.C1.R1.P1,promoter 1,19,3,13,2.01017,
S2.C1.R1.P2,promoter 2,19,3,20,0.56879,
S2.C1.R1.P3,promoter 3,20,2,3,2.23001,
S2.C1.R1.LY,abs @470nm w/DMSO,20,6,3,2.03439,
S2.C1.R1.P1,promoter 1,20,8,7,4.98217,
S2.C1.R1.P2,promoter 2,20,9,2,3.44425,
S2.C1.R1.P3,promoter 3,20,11,3,1.88984,
S2.C1.R1.LY,abs @470nm w/DMSO,20,15,4,1.4428,
S2.C1.R1.P1,promoter 1,20,19,3,1.22363,
S2.C1.R1.P2,promoter 2,2,3,18,0.66741,
S2.C1.R1.P3,promoter 3,8,3,21,2.25504,
S2.C1.R1.LY,abs @470nm w/DMSO,9,3,20,1.10413,
S2.C1.R1.P1,promoter 1,9,7,16,4.75702,
S2.C1.R1.P2,promoter 2,11,3,14,2.19791,
S2.C1.R1.P3,promoter 3,12,3,5,1.53342,
S2.C1.R1.LY,abs @470nm w/DMSO,12,12,12,1.41282,
S2.C1.R1.P1,promoter 1,14,3,20,1.00401,
S2.C1.R1.P2,promoter 2,15,7,2,3.07646,
S2.C1.R1.P3,promoter 3,15,8,2,3.53541,
S2.C1.R1.LY,abs @470nm w/DMSO,16,1,2,4.91814,
S2.C1.R1.P1,promoter 1,16,3,22,2.04015,
S2.C1.R1.P2,promoter 2,16,4,1,2.59427,
S2.C1.R1.P3,promoter 3,16,4,2,2.27697,
S2.C1.R1.LY,abs @470nm w/DMSO,16,6,1,4.07456,
S2.C1.R1.P1,promoter 1,16,6,4,2.69605,
S2.C1.R1.P2,promoter 2,16,7,2,5.54487,
S2.C1.R1.P3,promoter 3,16,7,5,3.20783,
S2.C1.R1.LY,abs @470nm w/DMSO,16,9,4,4.63553,
S2.C1.R1.P1,promoter 1,16,10,1,3.28559,
S2.C1.R1.P2,promoter 2,16,10,4,6.19193,
S2.C1.R1.P3,promoter 3,16,10,17,2.67847,
S2.C1.R1.LY,abs @470nm w/DMSO,16,13,3,1.46018,
S2.C1.R1.P1,promoter 1,16,13,4,1.31316,
S2.C1.R1.P2,promoter 2,16,15,2,2.4172,
S2.C1.R1.P3,promoter 3,16,15,14,2.20965,
S2.C1.R1.LY,abs @470nm w/DMSO,16,18,1,2.28355,
S2.C1.R1.P1,promoter 1,16,19,16,2.948,
S2.C1.R1.P2,promoter 2,17,1,16,3.22174,
S2.C1.R1.P3,promoter 3,17,3,18,4.64213,
S2.C1.R1.LY,abs @470nm w/DMSO,17,9,18,0.79361,
S2.C1.R1.P1,promoter 1,17,11,16,4.04767,
S2.C1.R1.P2,promoter 2,17,14,18,2.01976,
S2.C1.R1.P3,promoter 3,17,14,20,0.59184,
S2.C1.R1.LY,abs @470nm w/DMSO,17,17,14,2.75206,
S2.C1.R1.P1,promoter 1,17,18,16,1.73968,
S2.C1.R1.P2,promoter 2,19,3,13,2.01017,
S2.C1.R1.P3,promoter 3,19,3,20,0.5962,
S2.C1.R1.LY,abs @470nm w/DMSO,20,2,3,2.20378,
S2.C1.R1.P1,promoter 1,20,6,3,1.91611,
S2.C1.R1.P2,promoter 2,20,8,7,4.75044,
S2.C1.R1.P3,promoter 3,20,9,2,3.28217,
S2.C1.R1.LY,abs @470nm w/DMSO,20,11,3,1.80194,
S2.C1.R1.P1,promoter 1,20,15,4,1.42541,
S2.C1.R1.P2,promoter 2,20,19,3,1.31316,
S2.C1.R1.P3,promoter 3,2,3,18,0.66741,
S2.C1.R1.LY,abs @470nm w/DMSO,8,3,21,2.39424,
S2.C1.R1.P1,promoter 1,9,3,20,1.02884,
S2.C1.R1.P2,promoter 2,9,7,16,4.92691,
S2.C1.R1.P3,promoter 3,11,3,14,2.09448,
S2.C1.R1.LY,abs @470nm w/DMSO,12,3,5,1.4645,
S2.C1.R1.P1,promoter 1,12,12,12,1.37836,
S2.C1.R1.P2,promoter 2,14,3,20,1.00401,
S2.C1.R1.P3,promoter 3,15,7,2,2.96659,
S2.C1.R1.LY,abs @470nm w/DMSO,15,8,2,3.7941,
S2.C1.R1.P1,promoter 1,16,1,2,5.21442,
S2.C1.R1.P2,promoter 2,16,3,22,2.11478,
S2.C1.R1.P3,promoter 3,16,4,1,2.36107,
S2.C1.R1.LY,abs @470nm w/DMSO,16,4,2,2.22211,
S2.C1.R1.P1,promoter 1,16,6,1,3.93242,
S2.C1.R1.P2,promoter 2,16,6,4,2.72934,
S2.C1.R1.P3,promoter 3,16,7,2,5.1038,
S2.C1.R1.LY,abs @470nm w/DMSO,16,7,5,3.13409,
S2.C1.R1.P1,promoter 1,16,9,4,4.7446,
S2.C1.R1.P2,promoter 2,16,10,1,3.13277,
S2.C1.R1.P3,promoter 3,16,10,4,6.12075,
S2.C1.R1.LY,abs @470nm w/DMSO,16,10,17,2.61828,
S2.C1.R1.P1,promoter 1,16,13,3,1.47756,
S2.C1.R1.P2,promoter 2,16,13,4,1.32808,
S2.C1.R1.P3,promoter 3,16,15,2,2.22492,
S2.C1.R1.LY,abs @470nm w/DMSO,16,15,14,2.15943,
S2.C1.R1.P1,promoter 1,16,18,1,2.53728,
S2.C1.R1.P2,promoter 2,16,19,16,2.87781,
S2.C1.R1.P3,promoter 3,17,1,16,3.34256,
S2.C1.R1.LY,abs @470nm w/DMSO,17,3,18,4.86059,
S2.C1.R1.P1,promoter 1,17,9,18,0.81296,
S2.C1.R1.P2,promoter 2,17,11,16,4.34028,
S2.C1.R1.P3,promoter 3,17,14,18,2.01976,
S2.C1.R1.LY,abs @470nm w/DMSO,17,14,20,0.63411,
S2.C1.R1.P1,promoter 1,17,17,14,2.99287,
S2.C1.R1.P2,promoter 2,17,18,16,1.6224,
S2.C1.R1.P3,promoter 3,19,3,13,1.96449,
S2.C1.R1.LY,abs @470nm w/DMSO,19,3,20,0.56879,
S2.C1.R1.P1,promoter 1,20,2,3,2.12507,
S2.C1.R1.P2,promoter 2,20,6,3,1.98708,
S2.C1.R1.P3,promoter 3,20,8,7,4.63458,
S2.C1.R1.LY,abs @470nm w/DMSO,20,9,2,3.40373,
S2.C1.R1.P1,promoter 1,20,11,3,1.88984,
S2.C1.R1.P2,promoter 2,20,15,4,1.5471,
S2.C1.R1.P3,promoter 3,20,19,3,1.32808,
S2.C1.R1.LY,abs @470nm w/DMSO,2,3,18,0.78277,
S2.C1.R1.P1,promoter 1,8,3,21,2.39424,
S2.C1.R1.P2,promoter 2,9,3,20,1.11667,
S2.C1.R1.P3,promoter 3,9,7,16,5.04017,
S2.C1.R1.LY,abs @470nm w/DMSO,11,3,14,2.37892,
S2.C1.R1.P1,promoter 1,12,3,5,1.48173,
S2.C1.R1.P2,promoter 2,12,12,12,1.67126,
S2.C1.R1.P3,promoter 3,14,3,20,0.8886,
S2.C1.R1.LY,abs @470nm w/DMSO,15,7,2,3.33283,
S2.C1.R1.P1,promoter 1,15,8,2,3.88033,
S2.C1.R1.P2,promoter 2,16,1,2,4.91814,
S2.C1.R1.P3,promoter 3,16,3,22,2.13966,
S2.C1.R1.LY,abs @470nm w/DMSO,16,4,1,2.39022,
S2.C1.R1.P1,promoter 1,16,4,2,2.60617,
S2.C1.R1.P2,promoter 2,16,6,1,4.12194,
S2.C1.R1.P3,promoter 3,16,6,4,3.09547,
S2.C1.R1.LY,abs @470nm w/DMSO,16,7,2,5.54487,
S2.C1.R1.P1,promoter 1,16,7,5,3.2447,
S2.C1.R1.P2,promoter 2,16,9,4,4.30832,
S2.C1.R1.P3,promoter 3,16,10,1,3.4384,
S2.C1.R1.LY,abs @470nm w/DMSO,16,10,4,5.83607,
S2.C1.R1.P1,promoter 1,16,10,17,2.46781,
